TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,,,E HOSPITALARES
CARDIOTOCOGRAFIA,,,,AMB,HCO,HSO,REF,,,MONITORIZAÇÕES,E HOSPITALARES
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,,,,AMB,,,REF,,,MONITORIZAÇÕES,E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,,,,AMB,,,REF,,56,MONITORIZAÇÕES,E HOSPITALARES
MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO,581/2023,12/072023,,AMB,,,REF,,162,MONITORIZAÇÕES,E HOSPITALARES
MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,,,,,HCO,HSO,REF,,,MONITORIZAÇÕES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,,,,,HCO,HSO,REF,,,MONITORIZAÇÕES,E HOSPITALARES
MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,,,,,HCO,HSO,REF,,,MONITORIZAÇÕES,E HOSPITALARES
POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),,,,,HCO,HSO,REF,,,MONITORIZAÇÕES,E HOSPITALARES
TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,,,,AMB,HCO,HSO,REF,PAC,67,MONITORIZAÇÕES,E HOSPITALARES
ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,,,,AMB,,,REF,,,REABILITAÇÃO,E HOSPITALARES
AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
BIOFEEDBACK COM EMG,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
EXERCÍCIOS DE ORTÓPTICA,,,,AMB,,,REF,,,REABILITAÇÃO,E HOSPITALARES
INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
REABILITAÇÃO LABIRÍNTICA,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA MÚSCULO-ESQUELÉTICO POR DISTÚRBIOS CONGÊNITOS OU,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
REUMÁTICOS,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
ESPECÍFICAS),,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS,,,,AMB,HCO,HSO,REF,,,REABILITAÇÃO,E HOSPITALARES
ACTINOTERAPIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,,,,,,79,TERAPÊUTICA,E HOSPITALARES
APLICAÇÃO DE HIPOSSENSIBILIZANTE,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,,,,,,80,TERAPÊUTICA,E HOSPITALARES
APLICAÇÃO TÓPICA DE FLÚOR,,,OD,,,,,,,TERAPÊUTICA,E HOSPITALARES
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO,,,OD,,,,,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
BETATERAPIA,,,,AMB,HCO,HSO,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
CATETERISMO VESICAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
CERUMEN - REMOÇÃO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
CRIOTERAPIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
CURATIVOS EM GERAL COM OU SEM ANESTESIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
DILATAÇÃO URETRAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
DESSENSIBILIZAÇÃO DENTÁRIA,,,OD,,,,,,,TERAPÊUTICA,E HOSPITALARES
ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,24,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,,,,AMB,,,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
INSTILAÇÃO VESICAL OU URETRAL,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
PULSOTERAPIA,,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,PAC,58,TERAPÊUTICA,E HOSPITALARES
REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO),,,OD,AMB,HCO,HSO,REF,,96,TERAPÊUTICA,E HOSPITALARES
REMINERALIZAÇÃO DENTÁRIA,,,OD,,,,,,,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
SESSÃO DE ACUPUNTURA,,,,AMB,,,REF,,,TERAPÊUTICA,E HOSPITALARES
TERAPIA AVANÇADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE,571/2023,10/02/2023,,,HCO,HSO,REF,PAC,159,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
UTILIZAÇÃO),,,,,,,,,,,E HOSPITALARES
TERAPIA PARA DOENÇA DE FABRY CLÁSSICA (COM DIRETRIZ,581/2023,12/07/2023,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
DE UTILIZAÇÃO),599/2024,05/03/2024,,AMB,HCO,HSO,REF,PAC,161,TERAPÊUTICA,E HOSPITALARES
TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 (CLN2) (COM DIRETRIZ,538/2022,22/10/2022,,,HCO,HSO,REF,PAC,153,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
DE UTILIZAÇÃO),,,,,,,,,,,E HOSPITALARES
"TERAPIA IMUNOBIOLÓGICA ENDOVENOSA, INTRAMUSCULAR OU SUBCUTÂNEA (COM DIRETRIZ DE",,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,PAC,65,TERAPÊUTICA,E HOSPITALARES
TERAPIA IMUNOPROFILÁTICA PARA O VÍRUS SINCICIAL RESPIRATÓRIO (VSR) (COM DIRETRIZ DE UTILIZAÇÃO),624/2024,03/02/2025,,AMB,HCO,HSO,REF,,124,TERAPÊUTICA,E HOSPITALARES
TERAPIA INALATÓRIA (NEBULIZAÇÃO),,,,AMB,HCO,HSO,REF,,,TERAPÊUTICA,E HOSPITALARES
TERAPIA INTRAVENOSA COM ÁCIDO ZOLEDRÔNICO (COM DIRETRIZ DE UTILIZAÇÃO),592/2023,18/12/2023,,AMB,HCO,HSO,REF,PAC,163,TERAPÊUTICA,E HOSPITALARES
TERAPIA MEDICAMENTOSA INJETÁVEL AMBULATORIAL (COM DIRETRIZ DE UTILIZAÇÃO),546/2022,03/10/2022,,AMB,HCO,HSO,REF,,158,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
TERAPIA ONCOLÓGICA - PLANEJAMENTO,,,,AMB,HCO,HSO,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
TERAPIA ONCOLÓGICA COM APLICAÇÃO DE MEDICAMENTOS POR VIA INTRACAVITÁRIA OU INTRATECAL,,,,,HCO,HSO,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
TERAPIA ONCOLÓGICA COM APLICAÇÃO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS,,,,AMB,HCO,HSO,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
TERAPIA ONCOLÓGICA MEDICAMENTOSA PEROPERATÓRIA,,,,,HCO,HSO,REF,PAC,,TERAPÊUTICA,E HOSPITALARES
TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,,AMB,HCO,HSO,REF,,148,TERAPÊUTICA,E HOSPITALARES
APÊNDICE PRÉ-AURICULAR - RESSECÇÃO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
APLICAÇÃO DE CONTRACEPTIVO HORMONAL INJETÁVEL (COM DIRETRIZ DE UTILIZAÇÃO),538/2022,22/10/2022,,AMB,,,REF,,154,PROCEDIMENTOS,E HOSPITALARES
IMPLANTE SUBDÉRMICO HORMONAL PARA CONTRACEPÇÃO (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,,AMB,,,REF,,170,PROCEDIMENTOS,E HOSPITALARES
AUTONOMIZAÇÃO DE RETALHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
BIÓPSIA DE FACE,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
"BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTÂNEO, LINFONODO SUPERFICIAL,",,,,,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
"UNHA, ETC",,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
CANTOPLASTIA UNGUEAL,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CAUTERIZAÇÃO QUÍMICA,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
CIRURGIA DA HIDROSADENITE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CORREÇÃO CIRÚRGICA DE SEQUELAS DE ALOPECIA TRAUMÁTICA COM MICROENXERTOS PILOSOS,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CORREÇÃO DE DEFORMIDADES POR EXÉRESE DE TUMORES OU SEQÜELAS DE TRAUMATISMOS COM O,,,,,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
"EMPREGO DE EXPANSORES EM RETALHOS CUTÂNEOS, MUSCULARES E/OU MIOCUTÂNEOS",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CRIOCIRURGIA (NITROGÊNIO LÍQUIDO) DE NEOPLASIAS CUTÂNEAS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
CURATIVO DE QUEIMADURAS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
CURATIVO ESPECIAL SOB ANESTESIA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
"CURETAGEM, ELETROCOAGULAÇÃO E/OU DERMOABRASÃO DE LESÕES DE PELE E MUCOSAS",,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
ABDOMINOPLASTIA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,,18,PROCEDIMENTOS,MUCOSAS E ANEXOS
DESBRIDAMENTO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
DESBRIDAMENTO DE FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
"ENXERTO DE CARTILAGEM, MUCOSA E/OU COMPOSTO",,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
ENXERTO DE PELE MÚLTIPLO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
ENXERTO OU HOMOENXERTO DE PELE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
ESCALPO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
ESCAROTOMIA DESCOMPRESSIVA,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
EXÉRESE DE HIGROMA CÍSTICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
EXÉRESE DE LESÃO COM AUTO-ENXERTIA,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
EXÉRESE DE LESÃO DE PELE E MUCOSAS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
EXÉRESE DE TUMOR DE PARTES MOLES,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,"
EXÉRESE DE UNHA,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS,MUCOSAS E ANEXOS
